SHORT_NAME,START,STOP,LENGTH,LONG_NAME,DESCRIPTION,DOM,MIN,MAX,UNITS,SCALING_FACTOR,MISSING,CLASS,FIXED_FORMAT
TOTAL_CHAR,1,4,4,TOTAL-VARIABLE-CHARACTERS,The number of characters in the variable data section.  The total record length = 105 + the value stored in this field.,A general domain comprised of the characters in the ASCII character set.,c0000,c9999,,,NA,integer,I4
USAF,5,10,6,FIXED-WEATHER-STATION USAF MASTER STATION CATALOG identifier,The identifier that represents a FIXED-WEATHER-STATION.,"A general domain comprised of the characters in the ASCII character set. This field includes all surface reporting stations, including ships, buoys, etc.",,,,,NA,integer,I6
WBAN,11,15,5,FIXED-WEATHER-STATION NCEI WBAN identifier,The identifier that represents a FIXED-WEATHER-STATION.,A general domain comprised of the characters in the ASCII character set.,c00000,c99999,,,NA,integer,I5
DATE,16,23,8,GEOPHYSICAL-POINT-OBSERVATION date,The date of a GEOPHYSICAL-POINT-OBSERVATION.,"A general domain comprised of integer values 0-9 in the format YYYYMMDD. YYYY can be any positive integer value; MM is restricted to values 01-12; and DD is restricted to values 01-31.
",c00000101,c99991231,,,NA,integer,I8
TIME,24,27,4,GEOPHYSICAL-POINT-OBSERVATION time,The time of a GEOPHYSICAL-POINT-OBSERVATION based on,A general domain comprised of integer values 0-9 in the format HHMM. HH is restricted to values 00-23; MM is restricted to values 00-59.,c0000,c2359,,,NA,integer,I4
DATA_SOURCE,28,28,1,GEOPHYSICAL-POINT-OBSERVATION data source flag,The flag of a GEOPHYSICAL-POINT-OBSERVATION showing the source or combination of sources used in creating the observation.,A general domain comprised of values 1-9 and A-N.,c1,cZ,,,c9,character,A1
LATITUDE,29,34,6,GEOPHYSICAL-POINT-OBSERVATION latitude coordinate,The latitude coordinate of a GEOPHYSICAL-POINT-OBSERVATION where southern hemisphere is negative.,"A general domain comprised of the numeric characters (0-9), a plus sign (+), and a minus sign (-). +99999 = Missing",c-90000,c+90000,,1000,c+99999,numeric,F6.3
LONGITUDE,35,41,7,GEOPHYSICAL-POINT-OBSERVATION longitude coordinate,The longitude coordinate of a GEOPHYSICAL-POINT-OBSERVATION where values west from 000000 to 179999 are signed negative.,"A general domain comprised of the numeric characters (0-9), a plus sign (+), and a minus sign (-). +999999 = Missing",c-179999,c+180000,,1000,c+999999,numeric,F7.3
GEO_REPORT,42,46,5,GEOPHYSICAL-REPORT-TYPE code,The code that denotes the type of geophysical surface observation.,A specific domain comprised of the characters in the ASCII character set.,,,,,c99999,character,A5
ELEVATION,47,51,5,GEOPHYSICAL-POINT-OBSERVATION elevation dimension,The elevation of a GEOPHYSICAL-POINT-OBSERVATION relative to Mean Sea Level (MSL).,"A general domain comprised of the numeric characters (0?9), a minus sign ( ), and a plus sign (+). +9999 = Missing",c-0400,c+8850,,1,c+9999,integer,I5
STATION,52,56,5,FIXED-WEATHER-STATION call letter identifier,The identifier that represents the call letters assigned to a FIXED?WEATHER?STATION.,A general domain comprised of the characters in the ASCII character set. 99999 = Missing.,,,,,c99999,character,A5
QC_PROCESS,57,60,4,METEOROLOGICAL-POINT-OBSERVATION quality control process name,The name of the quality control process applied to a weather observation.,A general domain comprised of the ASCII character set.,,,,,NA,character,A4
WIND_DIR,61,63,3,WIND-OBSERVATION direction angle,"The angle, measured in a clockwise direction, between true north and the direction from which the wind is blowing.","A general domain comprised of the numeric characters (0?9). 999 = Missing.  If type code (below) = V, then 999 indicates variable wind direction.",c001,c360,Angular Degrees,1,c999,integer,I3
WIND_DIR_QUALITY,64,64,1,WIND-OBSERVATION direction quality code,The code that denotes a quality status of a reported WIND-OBSERVATION direction angle.,A specific domain comprised of the characters in the ASCII character set.,,,,,NA,character,A1
WIND_TYPE,65,65,1,WIND-OBSERVATION type code,The code that denotes the character of the WIND-OBSERVATION.,"A specific domain comprised of the characters in the ASCII character set. NOTE:  If a value of 9 appears with a wind speed of 0000, this indicates calm winds.",,,,,c9,character,A1
WIND_SPEED,66,69,4,WIND-OBSERVATION speed rate,The rate of horizontal travel of air past a fixed point.,A general domain comprised of the numeric characters (0?9). 9999 = Missing.,c0000,c0900,,10,c9999,numeric,F4.1
WIND_SPEED_QUALITY,70,70,1,WIND?OBSERVATION speed quality code,The code that denotes a quality status of a reported WIND-OBSERVATION speed rate.,A specific domain comprised of the characters in the ASCII character set.,,,,,NA,integer,I1
SKY_CEILING,71,75,5,SKY-CONDITION-OBSERVATION ceiling height dimension,"The height above ground level (AGL) of the lowest cloud or obscuring phenomena layer aloft with 5/8 or more summation total sky cover, which may be predominantly opaque, or the vertical visibility into a surface based obstruction.  Unlimited = 22000.",A general domain comprised of the numeric characters (0?9). 99999 = Missing.,c00000,c22000,Meters,1,c99999,integer,I5
SKY_CEILING_QUALITY,76,76,1,SKY-CONDTION-OBSERVATION ceiling quality code,The code that denotes a quality status of a reported ceiling height dimension.,A specific domain comprised of the characters in the ASCII character set.,,,,,NA,character,I1
SKY_CEILING_METHOD,77,77,1,SKY-CONDITION-OBSERVATION ceiling determination code,The code that denotes the method used to determine the ceiling.,A specific domain comprised of the characters in the ASCII character set.,,,,,c9,character,A1
